order	time	location	type	details	lng	lat
516	19:00	Amesbury Avenue, Streatham, SW16, London, UK	IB	Anti- aircraft shell unexploded. And 2x2 roadway damaged	-0.124744	51.414194
517	19:00	Bancroft Rd, Tower Hamlets, London E1, London, UK	IB	2 x 1ft of tarmac damaged	-0.048831	51.524854
518	19:00	86 Ernest Street, Stepney E1, London, UK	IB	Back room on 2nd floor and contents damaged. 3x4 room damaged.	-0.040538	51.52189
519	19:00	Pier Road, North Woolwich, E16, London, UK	EB & IB	London and North Eastern railway. 60x20x10 stack of coal 6 railway trucks and content severely damaged	0.060745	51.498921
520	19:01	Wearside Road, Lewisam, SE13, London, UK	IB	IB on enclosed ground 	-0.016151	51.45709
521	19:01	Furze Street E3, London, UK	IB	2x1 ft of tarmac damaged	-0.022036	51.518507
523	19:05	Silk Mills Path, Lewisham SE13, London, UK	EB	Broadway Press, Ltd. Printers. Machine room, storage, roof damaged 200x150	-0.011836	51.465519
524	19:05	86 Ernest Street, Stepney E1, London, UK	IB	Front room on 1st floor and contents damaged, roof part off (4x3)	-0.040538	51.521863
527	19:07	55, Glengarnock Avenue, Cubitt town E14, London, UK	IB	A house of 6 rooms, upper part and contents severely damaged	-0.007677	51.489126
528	19:07	45, Glengarnock Avenue, Cubitt town E14, London, UK	IB	A house of 6 rooms, upper part and contents severely damaged	-0.007874	51.489163
529	19:07	34, Glengarnock Avenue, Cubbit town E14, London, UK	IB	A timber shed building about 12x 10 feet  used as store and contents severely damaged	-0.007948	51.489147
530	19:07	1 Pennyfields, London, UK	EB	Port of London Authority-About 60x40 ft of paving and some railway track damaged by explosion on dockside	-0.025243	51.5095
531	19:08	Manchester Road, Cubitt Town E14, London, UK	IB	Builders and Contractors- Some stock in yard and motor lorry damaged	-0.007486	51.493334
532	19:10	Hornlane East, Greenwich SE10, London, UK	EB	Southern rail. 30 ft roadway damaged	0.017449	51.487032
534	19:10	Glenarm Road, Clapton, E5, London, UK	EB	Roadway and 4 private houses damaged	-0.047434	51.552795
535	19:11	Butcher Row. Cable Street- Stepney E1, London, UK	EB	Cider factory-A building of one floor used as workshops, offices and stores severely damaged.	-0.041885	51.511881
536	19:13	Belford Grove, Woolwich, SE18, London, UK	-	Suspected unexploded bomb	0.060603	51.488097
537	19:13	Parry Place Woolwich Se18, London, UK	-	Suspected unexploded bomb	0.071983	51.491033
538	19:13	Burrage Road SE18, London, UK	-	Suspected unexploded bomb	0.072958	51.486159
539	19:13	Corborn Street, London, E3 2AB, London, UK	IB	2x1 paving damage	-0.029826	51.527907
540	19:14	50 Ordnance Crescent, Greenwich SE10, London, UK	IB	Back room on 1st floor and contents damaged	0.001351	51.500067
542	19:16	40 and 42 Blackthorn Street Bow, E3, London, UK	EB	2 private houses damaged	-0.020589	51.520615
545	19:20	Princes Rise, Lewisham, SE13, London, UK	IB	3x2 carriage way damaged	-0.01026	51.468147
546	19:20	Lewisham Hill, Lewisham SE13, London, UK	EB	South Met Gas Company: Gas destroyed and carriage way (20x20)	-0.009426	51.467265
547	19:20	Durham Row, Tower Hamlets London E1 ONP, London, UK	IB	4x3 roof damage	-0.040528	51.51741
548	19:25	19 Boyne Road, Lewisham, SE13, London, UK	-	2x2 roadway damage	-0.007916	51.46405
