order	time	location	type	details	lng	lat
733	22:23	87 York Road, Lambeth SE1, London, UK	IB	IB in grounds	-0.11658	51.502202
734	22:24	747, Commercial RD E14, London, UK	IB	British Sailors Society-Empire Memorial Hostel for Sailors- 2x1 ft of pathway slightly damaged, breakage in yard	-0.032471	51.512602
737	22:30	Sandford Street SE14, London, UK	IB	1/4 acre of grass burned. 	-0.041235	51.480279
738	22:30	20 Hereford Street, Bethnal Green, E2, London, UK	IB	House of 6 rooms and 1/2 of contents severely damaged	-0.066228	51.524393
739	22:31	Silwood Street Rotherhithe Se16, London, UK	IB	IB burned out in street. 	-0.050495	51.488465
740	22:31	Island Row E14, London, UK	IB	1x1 ft of paving slightly destroyed	-0.033578	51.511621
741	22:34	Gallions Reach, Woolwich, S.E, London, UK	-	4 dumb barges and contents damaged and sunk	0.071601	51.50893
742	22:36	Avonley Road, Newcross, SE14, London, UK	EB	South Eastern Hospital, Nurses Quarters and wards Nos. 1 & 10 damaged by explosion. 1 male and 4 females killed. 1 male and 2 femaies injured	-0.050389	51.479059
743	22:40	47 Ordnance Crescent, Greenwich  SE10, London, UK	IB	Back room on 1st floor and contents damaged	0.001469	51.50005
744	22:45	Berkshire Eoad, Hackney Wick E9, London, UK	IB	Rag and metal merchants- A quantity of stock damaged in yard	-0.025957	51.545451
745	22:45	9 Franklin Street, Bromley, E3, London, UK	IB	Back room on 1st floor damaged with contents	-0.012527	51.527637
746	22:47	Trinity Wharf Buoy, Limehouse Reach. E., London, UK	IB	2 dumb barges, unladen, damaged	0.008337	51.507946
751	22:55	Evelina Road, Camberwell, SE15, London, UK	EB 	40x40 one floor building, severely damaged, used as a mission hall.	-0.054461	51.467418
752	22:55	4 Stangate Street SE1, London, UK	IB	Minor fire and explosion damage	-0.116505	51.499138
756	22:58	30 Rashmore Road, Charlton, SE7. 28, London, UK	IB	2 Private houses each with 6 rooms damaged. One male burned to death.	0.02676	51.486201
759	23:00	Grays Inn Road WC1, London, UK	IB	anti aircraft shell, unexploded. 2x1 roadway damage, water mains damage	-0.121936	51.530423
760	23:00	Hollydale Road, Peckham, SE15, London, UK	EB	80x60 three floor building damaged	-0.056231	51.46973
761	23:00	Hollydale Road, Peckham SE15, London, UK	EB	18 private houses damaged	-0.05607	51.469455
763	23:00	181 Wellmeadow Road, Catford, SE6, London, UK	EB & IB	House of eight rooms, back room on groung floor and contents damaged by fire	0.0029	51.439385
764	23:00	Alnwick Road Eltham Se12, London, UK	-	quarter of acre of grass burned	0.02558	51.445293
765	23:00	34 Winn Road Lee, SE12, London, UK	-	house of 7 rooms damaged	0.02282	51.442331
766	23:00	31-37 Abernethy Road Lewisham Se13, London, UK	-	four houses, each with 6 rooms slightly damaged	0.001511	51.457382
767	23:00	Stonhouse Street, Clapham, SW4, London, UK	-	Suspected presence of IB	-0.13701	51.46364
771	23:08	107-111, Newington Butts, SE11, London, UK	IB	F & Tyler Furniture shop. 3 floor building 180x70, used as showrooms offices  store, damaged and roof off.	-0.102637	51.491894
772	23:08	133-139 Newington Butts, SE11, London, UK	EB & IB	Furniture shop, 3 floor building 90x40 damaged	-0.102755	51.491999
773	23:08	141, Newington Butts, SE11, London, UK	EB & IB	3 floors and basement damaged. 2/3 of content damaged	-0.1021	51.492146
774	23:08	129-131, Newington Butts, SE11, London, UK	EB & IB	50x40 three floors of mens clothing shop damaged	-0.101296	51.492673
775	23:08	2-8 Crampton Street, Southwark, SE17, London, UK	EB & IB	130x60 three floor building, shops and content damaged	-0.100182	51.490761
776	23:08	86-102 Newington Butts, SE11, London, UK	EB & IB	10 shops and houses damaged	-0.10209	51.492161
777	23:08	147 Walworth Road, SE17, London, UK	EB & IB	South East Southwark Conservative and Unionist Association. Club room and ground floor damaged	-0.097488	51.490934
778	23:10	8-12 Dundas Road Camberwell SE15, London, UK	Eb	3 private houses damaged	-0.054743	51.470554
779	23:10	105-113 Tyrwhitt Road, Brockley, SE4, London, UK	-	Five private houses severely damaged	-0.024663	51.462446
780	23:10	Glenton Road, Leiwsham SE13, London, UK	IB	IB in street	0.000132	51.45915
781	23:10	Tarn Street, Camberwell, Greater London, SE1, London, UK	IB	2x1 paving damage	-0.098165	51.496405
782	23:10	Braganza Street, Se17, London, UK	IB	IB burned out in street	-0.103724	51.487376
783	23:10	82 Reculver Road, Rotherhithe, SE16, London, UK	IB	Front of house and shop scorched	-0.049652	51.488269
784	23:11	Westminster Bridge, SW1, London, UK	IB	Suspected presence of IB	-0.116518	51.501805
785	23:11	215-217, Commercial Road, Stepney E1, London, UK	IB	Building of three floors and a shop and house of 7 rooms severely damaged	-0.059659	51.514935
786	23:11	Tynte Street, Homerton E9, London, UK	IB	2x1 roof damage	-0.035408	51.547902
787	23:12	Lewisham Hospital, Lewisham , SE13, London, UK	-	Bomb splinters	-0.016777	51.453062
788	23:15	Rolt Street, Deptford, SE8, London, UK	IB	IB burned out in street. 	-0.035698	51.48324
789	23:20	36-38 Cliffview Road, Lewisham SE13, London, UK	EB	2 private houses damaged	-0.022784	51.461472
790	23:20	31 Amelia Street, Walworth Se17, London, UK	IB	Coal Merchants. Timber shed building50x30  used as storeand contents damaged	-0.097867	51.489991
791	23:20	Carpenters Rd E15, London, UK	EB & IB	Waste Rubber Merchants- Some stock in yard and a range of buildings covering an area of about 200x100 feet severely damaged	-0.006516	51.538031
792	23:21	Bedford Road, WC1, London, UK	IB	shop and house of 7 rooms damaged with contents, upper part of house slightly damaged	-0.114209	51.520123
793	23:22	1 Philpot Street, Stepney, E1, London, UK	IB	Coal Merchant-Building of 2 floors about 60x 40 ft (used as workshops, office and store) and contents damaged by fire. Rest of building and contents slightly damaged	-0.058307	51.514905
795	23:28	Wallis Road, Hackney Wick, E9, London, UK	IB	Sweet manufacturers- A building of 3 floors about 100x 40 ft(used as machine room, work room and store) third floor and contents severely damaged.	-0.025146	51.544039
796	23:29	2 Leamore St, Hammersmith, w6, London, UK	IB	1st floor landing and contents slightly damaged, roof damage	-0.229809	51.49439
797	23:30	140 Dorset House, Marylebone Road, NW1, London, UK	IB	The bomb bured out the 8ths floor verandah	-0.157821	51.512851
798	23:30	Baker Street, w1, London, UK	-	fire caused by flame falling from aircraft	-0.156609	51.519862
799	23:31	Seymour Buildings, Seymour Place, Westminister, London W1, London, UK	IB	Two bombs burnt out roof and back area	-0.163394	51.519359
800	23:31	Addison Road, Kensington, w14, London, UK	IB	4x2 roadway damage 	-0.209149	51.499603
802	23:32	Eade Road, Finsbury Park, N4, London, UK	IB	IB(unignited)	-0.091398	51.574434
803	23:34	Crawford Street, w1, London, UK	IB	1x1 ft of damage to roadway	-0.160739	51.519579
804	23:34	Holland Villas Road , Kensington W1, London, UK	IB	4x2 roadway damage 	-0.212246	51.503351
805	23:34	158 Sussec Gardens, w2, London, UK	IB	bomb burned out on a waste ground	-0.173292	51.51524
806	23:35	9 Kensington Palace Gardens, w8, London, UK	IB	4x2 ft of roof damage.	-0.190919	51.507784
807	23:35	1-15 Haddo Terrace, Greenwich SE10, London, UK	EB	8 houses damaged	-0.01386	51.480317
808	23:35	Prior Street Greenwich, SE10, London, UK	EB	South Met Gas Company: 40x30 carriageway. Gas destroyed	-0.010892	51.475931
809	23:35	Vauxhall Walk, Lambeth, Se11, London, UK	IB	IB burned out in street	-0.120473	51.489403
810	23:36	99-101 Cambridge heath Road, Bethnal Green, E2, London, UK	IB	B. and R. Goldfarb, Ltd. Wholesale tobacconists. 60x40 four floor building, used as showrooms offices and stores,. Two top floors and contnts damaged	-0.071246	51.525075
811	23:38	94 Royal Hill, Greenwich SE10, London, UK	EB	Grocer, shop and house of 8 rooms	-0.009852	51.476533
812	23:38	96 Royal Hill, Greenwich SE10, London, UK	EB	Baker, shop and house of 6 rooms	-0.009557	51.476423
813	23:38	98 Royal Hill, Greenwich SE10, London, UK	EB	Greengrocer shop and house of 6 rooms damaged	-0.009567	51.476409
814	23:39	Polygon Road, NW1, London, UK	IB	Back room on ground floor and contents damaged, 2x1  of roof damaged.	-0.133262	51.531509
815	23:39	New Kent Road, Se1 and Trocadero Cinema , London, UK	EB	6x4 roadway and paving damaged. Cinema window broken	-0.099006	51.494864
816	23:41	Steedman  Street, Se17, London, UK	IB	Coal Merchants. Timber shed building 30x20 used as storeand contents damaged	-0.098751	51.491723
817	23:41	117 Walworth Road, Se17, London, UK	IB	2x1 roof damage	-0.09751	51.490968
818	23:43	50, Rushey Gren, Catford, Se6, London, UK	-	Falling Shrapnel	-0.017633	51.448219
819	23:45	Westferry Road, Docklands, London E14, London, UK	COB	Preserving manufacturers- building of two floors, 10 x 40 ft, used as workshops and stores. Top floor and contents damaged.	-0.018666	51.488147
821	23:45	Pier Road, North Woolwich, E16, London, UK	IB	M. B Foster and Sons. Bottlers. 40x30 of deck planking damaged. Cutting away on quay side. 	0.060927	51.498897
822	23:46	2 Athol Street, Poplar E14, London, UK	EB	4 private houses of 6 rooms severely damaged, Collapsed. 35 buildings damaged by explosion, 1 male severly injured, (since dead)	-0.006808	51.512271
823	23:46	24-48 Dee Street, Poplar E14. 2-22., London, UK	EB	London Country Council. 18 Private houses of 6 rooms and contnts, garages damaged. One van, one car, a staff car all destoryed. 24 inch gas main, 4 inch service pipe, 80x60 roadway damaged. 76 buildings damaged. Firemen, Strutton and Westwood, severely injured, since dead. 2 males and 1 female air raid warden severely injured, since dead. 	-0.004239	51.514221
824	23:46	 Culloden Street School, Poplar, E14. , London, UK	EB	London Country Council. 18 Private houses of 6 rooms and contnts, garages damaged. One van, one car, a staff car all destoryed. 24 inch gas main, 4 inch service pipe, 80x60 roadway damaged. 76 buildings damaged. Firemen, Strutton and Westwood, severely injured, since dead. 2 males and 1 female air raid warden severely injured, since dead. 	-0.017648	51.508946
825	23:46	50 -68 and 41-71 Aberfeldy Street Poplar, E14., London, UK	EB	London Country Council. 18 Private houses of 6 rooms and contnts, garages damaged. One van, one car, a staff car all destoryed. 24 inch gas main, 4 inch service pipe, 80x60 roadway damaged. 76 buildings damaged. Firemen, Strutton and Westwood, severely injured, since dead. 2 males and 1 female air raid warden severely injured, since dead. 	-0.00565	51.5135
826	23:46	2-36 and 1-37 Ettrick Street Poplar, E14, London, UK	EB	London Country Council. 18 Private houses of 6 rooms and contnts, garages damaged. One van, one car, a staff car all destoryed. 24 inch gas main, 4 inch service pipe, 80x60 roadway damaged. 76 buildings damaged. Firemen, Strutton and Westwood, severely injured, since dead. 2 males and 1 female air raid warden severely injured, since dead. 	-0.005833	51.514456
827	23:48	139 Walworth Road Se17, London, UK	IB	Shop and house of 8 rooms damaged	-0.097435	51.490968
828	23:48	30 Kenton Road, Hackney E9, London, UK	EB	Alarm Caused by unexploded bomb in private house	-0.044246	51.543879
829	23:52	Mare Street, Hackney, E9, London, UK	EB	4 shops and 10 house severely damage. And 50 houses damaged by the explosion	-0.053831	51.547218
831	23:52	9 Lyme Grove, Hackney , e9, London, UK	EB	Roadway and 1 private houses damaged	-0.053068	51.543017
832	23:52	12. St. Thomas Square E9, London, UK	EB	Roadway and 1 private houses severely damaged, and 20 houses damaged	-0.053635	51.541072
833	23:52	London Lane, Hackney, London E8, London, UK	EB	Roadway and 10 houses damaged	-0.057305	51.541966
837	23:58	Eckington Gardens, Newcross SE14, London, UK	IB	6x6 of pavement damage, (Deptford Borough Council)	-0.047409	51.477389
838	23:58	72-74 Ansdell Road, Peckham, SE15, London, UK	EB	2 private houses damaged	-0.054663	51.468479
839	23:58	Valentine Road, Hackney E9, London, UK	EB	Roadway and 4 private houses severely damaged, and 20 houses damaged	-0.045117	51.544027
840	23:58	Poole Road, London E9 7AE, London, UK	EB	Roadway and 3 private houses severely damaged, and 24 houses damaged	-0.045577	51.543372
841	23:59	189, Sussex Gardens W2, London, UK	IB	2x1 damage on roof, balck room on 5th floor and contents damaged	-0.173569	51.514258
842	23:59	Bale Rd, Tower Hamlets, London E1 4QJ, United Kingdom, London, UK	EB	Two houses each of 6 rooms and contents severely damaged. Many houses in this thoroughfare damaged by explosion	-0.039879	51.519896
843	23:59	Benledi Street, Poplar E14, London, UK	EB & IB	57 buildings damaged by explosion. 4 persons severely injured, extricated by the Brigade and removed to hospital	-0.003157	51.514378
